"property_type","cancellation_policy"
"House","super_strict_60"
"House","super_strict_60"
"House","super_strict_60"
"House","super_strict_60"
"House","super_strict_60"
"House","super_strict_60"
"House","super_strict_60"
"House","super_strict_60"
"House","super_strict_60"
"House","super_strict_30"
"House","super_strict_30"
"House","super_strict_30"
"House","super_strict_30"
